BLUES vs. all; (N = 526 vs. 890)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! int_bigram_entropy; 5.001160; 5.526730; ***; -0.468469
1; !! cpc_bigram_entropy; 4.998080; 5.328461; ***; -0.220750
2; !! cdpcx_density_L; 0.044335; 0.028303; ***; 0.329405
3; !! cdpcx_density_B; 0.043726; 0.027539; ***; 0.372115
4; !! fuzzyint_bigram_entropy; 4.025570; 4.300910; ***; -0.235895
5; !! int_range; 18.505703; 23.548315; ***; -0.560535
6; !! avgtempo; 185.540114; 200.693258; ***; -0.218205
7; !! cdpcx_density_3; 0.112833; 0.124865; *; -0.131216
8; !! cdpcx_density_>; 0.009202; 0.014528; ***; -0.249530
9; !! abs_int_range; 10.937262; 13.787640; ***; -0.498814
10; recordingyear; 1965.475285; 1966.096629; n. s.; -0.035702
11; !! int_entropy; 3.209068; 3.333798; ***; -0.212787
12; !! pitch_entropy; 3.657928; 3.847000; ***; -0.199315
13; !! durclass_rel_hist_01_very_short; 0.297015; 0.257697; **; 0.155349
14; !! int_min; -8.515209; -10.953933; ***; 0.463443
15; !! pitch_range; 21.399240; 24.293258; ***; -0.357641
16; !! art_std; 0.194734; 0.181865; ***; 0.321247
17; metrical_event_density; 6.446939; 6.359798; n. s.; 0.030431
18; cdpcx_entropy; 0.817490; 0.810596; n. s.; 0.033702
COLOR vs. all; (N = 92 vs. 1324)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1973.717391; 1965.320242; ***; 0.485880
1; cdpcx_entropy; 0.794130; 0.814479; n. s.; -0.099477
2; !! mean_length_seq_repitition; 3.000217; 1.881254; ***; 0.490968
3; cpc_bigram_entropy; 5.104457; 5.212772; n. s.; -0.071975
4; !! mean_length_step; 5.614565; 4.867024; ***; 0.498046
5; ioiclass_bigram_entropy; 2.664239; 2.523724; n. s.; 0.170072
6; !! mean_length_seq_ascending; 4.406630; 4.128882; **; 0.332924
7; !! pitch_entropy; 4.001196; 3.761171; *; 0.252348
8; !! art_range; 0.875109; 0.843414; *; 0.222395
